id,channel,value,datetime
7069259,2,294.278,2024-01-11 01:26:59.000000
7069260,5,294.27,2024-01-11 01:25:58.000000
7069261,5,294.286,2024-01-11 01:26:59.000000
7069262,6,0,2024-01-11 01:25:58.000000
7069263,6,0,2024-01-11 01:26:59.000000
7069264,1,293.591,2024-01-11 01:27:59.000000
7069265,1,293.591,2024-01-11 01:28:59.000000
7069266,2,294.26,2024-01-11 01:27:59.000000
7069267,2,294.257,2024-01-11 01:28:59.000000
7069268,5,294.273,2024-01-11 01:27:59.000000
7069269,5,294.289,2024-01-11 01:28:59.000000
7069270,6,0,2024-01-11 01:27:59.000000
7069271,6,0,2024-01-11 01:28:59.000000
7069272,1,293.591,2024-01-11 01:30:00.000000
7069273,1,293.59,2024-01-11 01:31:00.000000
7069274,2,294.275,2024-01-11 01:30:00.000000
7069275,2,294.276,2024-01-11 01:31:00.000000
7069276,5,294.308,2024-01-11 01:30:00.000000
7069277,5,294.282,2024-01-11 01:31:00.000000
7069278,6,0,2024-01-11 01:30:00.000000
7069279,6,0,2024-01-11 01:31:00.000000
7069280,1,293.591,2024-01-11 01:32:00.000000
7069281,1,293.589,2024-01-11 01:33:00.000000
7069282,2,294.268,2024-01-11 01:32:00.000000
7069283,2,294.264,2024-01-11 01:33:00.000000
7069284,5,294.282,2024-01-11 01:32:00.000000
7069285,5,294.286,2024-01-11 01:33:00.000000
7069286,6,0,2024-01-11 01:32:00.000000
7069287,6,0,2024-01-11 01:33:00.000000
7069288,1,293.588,2024-01-11 01:34:00.000000
7069289,1,293.588,2024-01-11 01:35:01.000000
7069290,2,294.265,2024-01-11 01:34:00.000000
7069291,2,294.268,2024-01-11 01:35:01.000000
7069292,5,294.304,2024-01-11 01:34:00.000000
7069293,5,294.268,2024-01-11 01:35:01.000000
7069294,6,0,2024-01-11 01:34:00.000000
7069295,6,0,2024-01-11 01:35:01.000000
7069296,1,293.588,2024-01-11 01:36:01.000000
7069297,1,293.587,2024-01-11 01:37:01.000000
7069298,2,294.268,2024-01-11 01:36:01.000000
7069299,2,294.259,2024-01-11 01:37:01.000000
7069300,5,294.336,2024-01-11 01:36:01.000000
7069301,5,294.26,2024-01-11 01:37:01.000000
7069302,6,0,2024-01-11 01:36:01.000000
7069303,6,0,2024-01-11 01:37:01.000000
7069304,1,293.587,2024-01-11 01:38:01.000000
7069305,1,293.585,2024-01-11 01:39:02.000000
