id,channel,value,datetime
6602419,2,43.08155874099128,2023-09-01 23:01:55
6602420,5,42.74056660610975,2023-09-01 23:01:55
6602421,6,42.40858154508141,2023-09-01 23:01:55
6602424,5,42.12535387514216,2023-09-01 23:03:55
6602425,6,41.92314066997864,2023-09-01 23:03:55
6602422,1,41.822921574128834,2023-09-01 23:03:55
6602423,2,41.832126532201585,2023-09-01 23:03:55
6602426,1,41.94406276081625,2023-09-01 23:05:55
6602427,2,42.139029038083756,2023-09-01 23:05:55
6602428,5,42.386923597618726,2023-09-01 23:05:55
6602429,6,42.65099833231993,2023-09-01 23:05:55
6602436,6,42.892297952413585,2023-09-01 23:07:56
6602430,1,43.07426101346727,2023-09-01 23:07:56
6602432,2,43.16696000700629,2023-09-01 23:07:56
6602434,5,43.150520072250956,2023-09-01 23:07:56
6602437,6,43.01736808197434,2023-09-01 23:08:56
6602435,5,42.773105069544606,2023-09-01 23:08:56
6602433,2,42.435943903035536,2023-09-01 23:08:56
6602431,1,42.0347957549886,2023-09-01 23:08:56
6602438,1,41.6062157994427,2023-09-01 23:11:56
6602440,2,41.19052692012922,2023-09-01 23:11:56
6602442,5,40.82752476635247,2023-09-01 23:11:56
6602444,6,40.55221904040257,2023-09-01 23:11:56
6602439,1,40.39107340236458,2023-09-01 23:12:56
6602441,2,40.35916218836095,2023-09-01 23:12:56
6602443,5,40.45856668372672,2023-09-01 23:12:56
6602445,6,40.67819657328869,2023-09-01 23:12:56
6602446,1,40.99505983178843,2023-09-01 23:15:57
6602447,2,41.37683658468656,2023-09-01 23:15:57
6602448,5,41.78545989421167,2023-09-01 23:15:57
6602449,6,42.18128793365402,2023-09-01 23:15:57
6602452,5,42.52738284266363,2023-09-01 23:17:57
6602453,6,42.793401523364516,2023-09-01 23:17:57
6602450,1,42.95865559910467,2023-09-01 23:17:57
6602451,2,43.014006025357425,2023-09-01 23:17:57
6602454,1,42.96240738729514,2023-09-01 23:19:57
6602455,2,42.81808498929378,2023-09-01 23:19:57
6602456,5,42.60448855265068,2023-09-01 23:19:57
6602457,6,42.35129697533748,2023-09-01 23:19:57
6602460,5,42.09083528508017,2023-09-01 23:21:58
6602461,6,41.85430499875794,2023-09-01 23:21:58
6602458,1,41.668228747816734,2023-09-01 23:21:58
6602459,2,41.551477885703676,2023-09-01 23:21:58
6602462,1,41.513192885237544,2023-09-01 23:23:58
6602463,2,41.551820617866795,2023-09-01 23:23:58
6602464,5,41.655379281841874,2023-09-01 23:23:58
6602465,6,41.80292604387856,2023-09-01 23:23:58
6602472,6,41.967059675194015,2023-09-01 23:25:58
6602466,1,42.11716375098785,2023-09-01 23:25:58
6602468,2,42.22300853197918,2023-09-01 23:25:58
6602470,5,42.25829571715483,2023-09-01 23:25:58
6602473,6,42.20375057407976,2023-09-01 23:26:59
6602467,1,42.049430136305546,2023-09-01 23:26:59
6602469,2,41.79600983467413,2023-09-01 23:26:59
6602471,5,41.4549220181275,2023-09-01 23:26:59
6602474,1,41.04733992661487,2023-09-01 23:29:59
6602476,2,40.60212212209929,2023-09-01 23:29:59
6602478,5,40.15294466455904,2023-09-01 23:29:59
6602480,6,39.734937608560486,2023-09-01 23:29:59
6602475,1,39.381194880048724,2023-09-01 23:30:59
6602477,2,39.11953358804829,2023-09-01 23:30:59
6602479,5,38.969840154171806,2023-09-01 23:30:59
6602481,6,38.94226411505961,2023-09-01 23:30:59
6602486,5,39.03641850426071,2023-09-01 23:33:59
6602484,2,39.24163211664824,2023-09-01 23:33:59
6602488,6,39.538187133623346,2023-09-01 23:33:59
6602482,1,39.89937780286776,2023-09-01 23:33:59
6602485,2,40.294152007964,2023-09-01 23:35:00
6602483,1,40.690053667451785,2023-09-01 23:35:00
6602489,6,41.05617136747752,2023-09-01 23:35:00
6602487,5,41.36581480001787,2023-09-01 23:35:00
6602490,1,41.59868051216159,2023-09-01 23:38:00
6602492,2,41.7423267803422,2023-09-01 23:38:00
6602496,6,41.792848901845794,2023-09-01 23:38:00
6602494,5,41.75472529362553,2023-09-01 23:38:00
6602491,1,41.639885123481584,2023-09-01 23:39:00
6602493,2,41.466122839841404,2023-09-01 23:39:00
6602495,5,41.2550469815702,2023-09-01 23:39:00
6602497,6,41.02979347279619,2023-09-01 23:39:00
6602498,1,40.81275164534685,2023-09-01 23:41:01
6602499,2,40.623540986677504,2023-09-01 23:41:01
6602500,5,40.47743782371227,2023-09-01 23:41:01
6602501,6,40.3843875333577,2023-09-01 23:41:01
6602504,5,40.34865752418547,2023-09-01 23:43:01
6602505,6,40.36910138112635,2023-09-01 23:43:01
6602503,2,40.43992952176097,2023-09-01 23:43:01
6602502,1,40.55182909329429,2023-09-01 23:43:01
6602506,1,40.69325279745187,2023-09-01 23:45:01
6602507,2,40.85170291875861,2023-09-01 23:45:01
6602508,5,41.014866974749104,2023-09-01 23:45:01
6602509,6,41.17150563724412,2023-09-01 23:45:01
6602513,6,41.31204242909066,2023-09-01 23:47:02
6602510,1,41.42885141905385,2023-09-01 23:47:02
6602511,2,41.51628002894976,2023-09-01 23:47:02
6602512,5,41.57047636089593,2023-09-01 23:47:02
6602516,5,41.58911011925527,2023-09-01 23:49:02
6602517,6,41.57107874406375,2023-09-01 23:49:02
6602514,1,41.51627440009524,2023-09-01 23:49:02
6602515,2,41.42545749858888,2023-09-01 23:49:02
6602518,1,41.30024782437149,2023-09-01 23:51:02
6602524,6,41.143214823556505,2023-09-01 23:51:02
6602520,2,40.95802964278371,2023-09-01 23:51:02
6602522,5,40.749632553219534,2023-09-01 23:51:02
6602525,6,40.524365899653866,2023-09-01 23:52:03
6602519,1,40.290020539682935,2023-09-01 23:52:03
6602521,2,40.055742851485384,2023-09-01 23:52:03
6602523,5,39.83175407499705,2023-09-01 23:52:03
6602526,1,39.628849119013694,2023-09-02 00:00:04
6602532,6,39.457669850060995,2023-09-02 00:00:04
6602528,2,39.327785379221815,2023-09-02 00:00:04
6602530,5,39.246652765970175,2023-09-02 00:00:04
6602531,5,39.21856851717,2023-09-02 00:01:04
6602533,6,39.24374733792758,2023-09-02 00:01:04
6602527,1,39.317674324865585,2023-09-02 00:01:04
6602529,2,39.43086694012159,2023-09-02 00:01:04
6602536,5,39.56915272787463,2023-09-02 00:03:04
6602537,6,39.71451890578059,2023-09-02 00:03:04
6602534,1,39.846524014537664,2023-09-02 00:03:04
6602535,2,39.94418608807362,2023-09-02 00:03:04
6602538,1,39.988185733646574,2023-09-02 00:05:05
6602544,6,39.963157338484486,2023-09-02 00:05:05
